시간, 매수체결량, +속도, 매도체결량, -속도, 잔량, 콜8, 수량8, 풋8, 수량8, 콜경과시간, 콜평균시간, 풋경과시간, 풋평균시간
094524, , , , , -3115, 1.06, 5, , 286, , , , 
094526, , , , , -3205, 1.02, 8, , 247, , , , 
094527, , , , , -3345, 1.01, 11, , 259, , , , 
094528, , , , , -3362, 1.00, 7, , 264, , , , 
094529, , , , , -3363, 1.01, 35, , 265, , , , 
094530, , , , , -3359, 1.00, 4, , 274, , , , 
094531, , , , , -3349, 1.00, 8, , 275, , , , 
094532, , , , , -3353, 1.00, 4, , 276, , , , 
094533, , , , , -3351, 1.01, 44, , 277, , , , 
094534, , , , , -3323, 1.01, 44, , 276, , , , 
094535, , , , , -3350, 1.00, 3, , 280, , , , 
094536, , , , , -3353, 1.00, 2, , 279, , , , 
094537, , , , , -3286, 1.01, 1, , 158, , , , 
094538, , , , , -3277, 1.02, 7, , 174, , , , 
094539, , , , , -3299, 1.02, 2, , 104, , , , 
094540, , , , , -3352, 1.01, 8, , 232, , , , 
094541, , , , , -3352, 1.01, 3, , 221, , , , 
094542, , , , , -3218, 1.03, 30, , 120, , , , 
094543, , , , , -3217, 1.03, 26, , 125, , , , 
094544, , , , , -3200, 1.03, 23, , 319, , , , 
094545, , , , , -3013, 1.05, 6, , 319, , , , 
094546, , , , , -2868, 1.09, 8, , 387, , , , 
094547, , , , , -2863, 1.09, 14, , 387, , , , 
094548, , , , , -2831, 1.09, 8, , 387, , , , 
094549, , , , , -2723, 1.09, 6, , 386, , , , 
094550, , , , , -2718, 1.10, 17, , 321, , , , 
094551, , , , , -2711, 1.11, 9, , 251, , , , 
094552, , , , , -2702, 1.11, 8, , 251, , , , 
094553, , , , , -2718, 1.10, 2, , 286, , , , 
094554, , , , , -2719, 1.10, 1, , 288, , , , 
094555, , , , , -2725, 1.10, 1, , 283, , , , 
094556, , , , , -2890, 1.09, 2, , 319, , , , 
094557, , , , , -2875, 1.09, 7, , 417, , , , 
094558, , , , , -2914, 1.08, 5, , 418, , , , 
094559, , , , , -2905, 1.08, 3, , 415, , , , 
094600, , , , , -3077, 1.05, 9, , 227, , , , 
094601, , , , , -3108, 1.05, 3, , 217, , , , 
094602, , , , , -3009, 1.07, 5, , 48, , , , 
094603, , , , , -2981, 1.06, 1, , 41, , , , 
094604, , , , , -2940, 1.07, 4, , 9, , , , 
094605, , , , , -2931, 1.07, 5, , 24, , , , 
094606, , , , , -2965, 1.06, 2, , 62, , , , 
094607, , , , , -2964, 1.06, 2, , 22, , , , 
094608, , , , , -2997, 1.07, 8, , 26, , , , 
094609, , , , , -3147, 1.06, 3, , 70, , , , 
094610, , , , , -3145, 1.05, 5, , 203, , , , 
094611, , , , , -3047, 1.07, 4, , 371, , , , 
094612, , , , , -3040, 1.08, 13, , 371, , , , 
094613, , , , , -3044, 1.08, 16, , 381, , , , 
094614, , , , , -2966, 1.09, 2, , 320, , , , 
094615, , , , , -2918, 1.10, 4, , 254, , , , 
094616, , , , , -3012, 1.09, 7, , 367, , , , 
094617, , , , , -2887, 1.11, 20, , 241, , , , 
094618, , , , , -3026, 1.09, 8, , 377, , , , 
094619, , , , , -2892, 1.11, 15, , 252, , , , 
094620, , , , , -2906, 1.10, 5, , 252, , , , 
094621, , , , , -2906, 1.10, 4, , 252, , , , 
094622, , , , , -2891, 1.11, 15, , 211, , , , 
094623, , , , , -2886, 1.11, 15, , 232, , , , 
094624, , , , , -2543, 1.13, 11, , 359, , , , 
094625, , , , , -2474, 1.15, 12, , 336, , , , 
094626, , , , , -2462, 1.14, 3, , 336, , , , 
094627, , , , , -2450, 1.15, 13, , 327, , , , 
094628, , , , , -2445, 1.15, 14, , 319, , , , 
094629, , , , , -2436, 1.14, 15, , 321, , , , 
094630, , , , , -2438, 1.14, 14, , 320, , , , 
094631, , , , , -2450, 1.14, 15, , 332, , , , 
094632, , , , , -2413, 1.14, 16, , 332, , , , 
094633, , , , , -2082, 1.17, 12, , 163, , , , 
094634, , , , , -2046, 1.18, 9, , 317, , , , 
094635, , , , , -2043, 1.18, 9, , 278, , , , 
094636, , , , , -2070, 1.16, 1, , 8, , , , 
094637, , , , , -2042, 1.17, 21, , 287, , , , 
094638, , , , , -2043, 1.17, 18, , 288, , , , 
094639, , , , , -2042, 1.17, 19, , 295, , , , 
094640, , , , , -2115, 1.16, 5, , 58, , , , 
094641, , , , , -2095, 1.17, 32, , 60, , , , 
094642, , , , , -2093, 1.16, 2, , 61, , , , 
094643, , , , , -2088, 1.17, 6, , 298, , , , 
